ID:9888 SKID:K1124+922  timeStamp:2025-03-28 08:08:24:557
ID:9888 SKID:K1124+925  timeStamp:2025-03-28 08:08:24:745
ID:9888 SKID:K1124+925  timeStamp:2025-03-28 08:08:24:932
ID:9888 SKID:K1124+927.5  timeStamp:2025-03-28 08:08:25:110
ID:9888 SKID:K1124+927.5  timeStamp:2025-03-28 08:08:25:285
ID:9888 SKID:K1124+927.5  timeStamp:2025-03-28 08:08:25:464
ID:9888 SKID:K1124+930.5  timeStamp:2025-03-28 08:08:25:643
ID:9888 SKID:K1124+930.5  timeStamp:2025-03-28 08:08:25:832
ID:9888 SKID:K1124+933  timeStamp:2025-03-28 08:08:26:12
ID:9888 SKID:K1124+933  timeStamp:2025-03-28 08:08:26:194
ID:9888 SKID:K1124+935.5  timeStamp:2025-03-28 08:08:26:372
ID:9888 SKID:K1124+935.5  timeStamp:2025-03-28 08:08:26:871
ID:9888 SKID:K1124+935.5  timeStamp:2025-03-28 08:08:27:122
ID:9888 SKID:K1124+938.5  timeStamp:2025-03-28 08:08:27:300
ID:9888 SKID:K1124+938.5  timeStamp:2025-03-28 08:08:27:474
ID:9888 SKID:K1124+941  timeStamp:2025-03-28 08:08:27:651
ID:9888 SKID:K1124+941  timeStamp:2025-03-28 08:08:27:829
ID:9888 SKID:K1124+941  timeStamp:2025-03-28 08:08:28:20
ID:9888 SKID:K1124+944  timeStamp:2025-03-28 08:08:28:194
ID:9888 SKID:K1124+944  timeStamp:2025-03-28 08:08:28:373
ID:9888 SKID:K1124+946.5  timeStamp:2025-03-28 08:08:28:552
ID:9888 SKID:K1124+946.5  timeStamp:2025-03-28 08:08:28:731
ID:9888 SKID:K1124+946.5  timeStamp:2025-03-28 08:08:28:914
ID:9888 SKID:K1124+949.5  timeStamp:2025-03-28 08:08:29:97
ID:9888 SKID:K1124+949.5  timeStamp:2025-03-28 08:08:29:276
ID:9888 SKID:K1124+952  timeStamp:2025-03-28 08:08:29:455
ID:9888 SKID:K1124+952  timeStamp:2025-03-28 08:08:29:635
ID:9888 SKID:K1124+955  timeStamp:2025-03-28 08:08:29:816
ID:9888 SKID:K1124+955  timeStamp:2025-03-28 08:08:29:998
ID:9888 SKID:K1124+955  timeStamp:2025-03-28 08:08:30:181
ID:9888 SKID:K1124+957.5  timeStamp:2025-03-28 08:08:30:363
ID:9888 SKID:K1124+957.5  timeStamp:2025-03-28 08:08:30:545
ID:9888 SKID:K1124+960.5  timeStamp:2025-03-28 08:08:30:730
ID:9888 SKID:K1124+960.5  timeStamp:2025-03-28 08:08:30:905
ID:9888 SKID:K1124+963  timeStamp:2025-03-28 08:08:31:77
ID:9888 SKID:K1124+963  timeStamp:2025-03-28 08:08:31:258
ID:9888 SKID:K1124+965.5  timeStamp:2025-03-28 08:08:31:431
ID:9888 SKID:K1124+965.5  timeStamp:2025-03-28 08:08:31:608
ID:9888 SKID:K1124+965.5  timeStamp:2025-03-28 08:08:31:787
ID:9888 SKID:K1124+968.5  timeStamp:2025-03-28 08:08:31:973
ID:9888 SKID:K1124+968.5  timeStamp:2025-03-28 08:08:32:164
ID:9888 SKID:K1124+971  timeStamp:2025-03-28 08:08:32:330
ID:9888 SKID:K1124+971  timeStamp:2025-03-28 08:08:32:494
ID:9888 SKID:K1124+971  timeStamp:2025-03-28 08:08:32:660
ID:9888 SKID:K1124+974  timeStamp:2025-03-28 08:08:32:827
ID:9888 SKID:K1124+974  timeStamp:2025-03-28 08:08:32:998
ID:9888 SKID:K1124+976.5  timeStamp:2025-03-28 08:08:33:167
ID:9888 SKID:K1124+976.5  timeStamp:2025-03-28 08:08:33:341
ID:9888 SKID:K1124+976.5  timeStamp:2025-03-28 08:08:33:505
ID:9888 SKID:K1124+979.5  timeStamp:2025-03-28 08:08:33:693
ID:9888 SKID:K1124+979.5  timeStamp:2025-03-28 08:08:33:875
ID:9888 SKID:K1124+982  timeStamp:2025-03-28 08:08:34:54
ID:9888 SKID:K1124+982  timeStamp:2025-03-28 08:08:34:251
ID:9888 SKID:K1124+982  timeStamp:2025-03-28 08:08:34:431
ID:9888 SKID:K1124+985  timeStamp:2025-03-28 08:08:34:942
ID:9888 SKID:K1124+985  timeStamp:2025-03-28 08:08:35:200
ID:9888 SKID:K1124+987.5  timeStamp:2025-03-28 08:08:35:376
ID:9888 SKID:K1124+987.5  timeStamp:2025-03-28 08:08:35:551
ID:9888 SKID:K1124+990  timeStamp:2025-03-28 08:08:35:725
ID:9888 SKID:K1124+990  timeStamp:2025-03-28 08:08:35:909
ID:9888 SKID:K1124+992.5  timeStamp:2025-03-28 08:08:36:102
ID:9888 SKID:K1124+992.5  timeStamp:2025-03-28 08:08:36:291
ID:9888 SKID:K1124+992.5  timeStamp:2025-03-28 08:08:36:473
ID:9888 SKID:K1124+995.5  timeStamp:2025-03-28 08:08:36:658
ID:9888 SKID:K1124+995.5  timeStamp:2025-03-28 08:08:36:843
ID:9888 SKID:K1124+998  timeStamp:2025-03-28 08:08:37:27
ID:9888 SKID:K1124+998  timeStamp:2025-03-28 08:08:37:206
ID:9888 SKID:K1125+0.5  timeStamp:2025-03-28 08:08:37:389
ID:9888 SKID:K1125+0.5  timeStamp:2025-03-28 08:08:37:578
ID:9888 SKID:K1125+3  timeStamp:2025-03-28 08:08:37:754
ID:9888 SKID:K1125+3  timeStamp:2025-03-28 08:08:37:940
ID:9888 SKID:K1125+3  timeStamp:2025-03-28 08:08:38:122
ID:9888 SKID:K1125+5.5  timeStamp:2025-03-28 08:08:38:299
ID:9888 SKID:K1125+5.5  timeStamp:2025-03-28 08:08:38:473
ID:9888 SKID:K1125+8  timeStamp:2025-03-28 08:08:38:649
ID:9888 SKID:K1125+8  timeStamp:2025-03-28 08:08:38:829
ID:9888 SKID:K1125+8  timeStamp:2025-03-28 08:08:39:12
ID:9888 SKID:K1125+11  timeStamp:2025-03-28 08:08:39:199
ID:9888 SKID:K1125+11  timeStamp:2025-03-28 08:08:39:380
ID:9888 SKID:K1125+13.5  timeStamp:2025-03-28 08:08:39:559
ID:9888 SKID:K1125+13.5  timeStamp:2025-03-28 08:08:39:743
