ID:9974 SKID:K1121+879.5  timeStamp:2025-03-28 08:09:28:145
ID:9974 SKID:K1121+881  timeStamp:2025-03-28 08:09:28:353
ID:9974 SKID:K1121+882.5  timeStamp:2025-03-28 08:09:28:556
ID:9974 SKID:K1121+884  timeStamp:2025-03-28 08:09:28:739
ID:9974 SKID:K1121+886  timeStamp:2025-03-28 08:09:28:918
ID:9974 SKID:K1121+887.5  timeStamp:2025-03-28 08:09:29:96
ID:9974 SKID:K1121+889  timeStamp:2025-03-28 08:09:29:270
ID:9974 SKID:K1121+890.5  timeStamp:2025-03-28 08:09:29:444
ID:9974 SKID:K1121+892  timeStamp:2025-03-28 08:09:29:617
ID:9974 SKID:K1121+893.5  timeStamp:2025-03-28 08:09:29:792
ID:9974 SKID:K1121+895  timeStamp:2025-03-28 08:09:29:974
ID:9974 SKID:K1121+896.5  timeStamp:2025-03-28 08:09:30:176
ID:9974 SKID:K1121+898  timeStamp:2025-03-28 08:09:30:354
ID:9974 SKID:K1121+900  timeStamp:2025-03-28 08:09:30:788
ID:9974 SKID:K1121+901.5  timeStamp:2025-03-28 08:09:31:39
ID:9974 SKID:K1121+903  timeStamp:2025-03-28 08:09:31:218
ID:9974 SKID:K1121+904.5  timeStamp:2025-03-28 08:09:31:402
ID:9974 SKID:K1121+906  timeStamp:2025-03-28 08:09:31:577
ID:9974 SKID:K1121+908  timeStamp:2025-03-28 08:09:31:759
ID:9974 SKID:K1121+909  timeStamp:2025-03-28 08:09:31:939
ID:9974 SKID:K1121+910.5  timeStamp:2025-03-28 08:09:32:121
ID:9974 SKID:K1121+912  timeStamp:2025-03-28 08:09:32:300
ID:9974 SKID:K1121+913.5  timeStamp:2025-03-28 08:09:32:477
ID:9974 SKID:K1121+915  timeStamp:2025-03-28 08:09:32:667
ID:9974 SKID:K1121+916.5  timeStamp:2025-03-28 08:09:32:843
ID:9974 SKID:K1121+918.5  timeStamp:2025-03-28 08:09:33:19
ID:9974 SKID:K1121+920  timeStamp:2025-03-28 08:09:33:200
ID:9974 SKID:K1121+921.5  timeStamp:2025-03-28 08:09:33:382
ID:9974 SKID:K1121+923.5  timeStamp:2025-03-28 08:09:33:558
ID:9974 SKID:K1121+924.5  timeStamp:2025-03-28 08:09:33:733
ID:9974 SKID:K1121+926  timeStamp:2025-03-28 08:09:33:914
ID:9974 SKID:K1121+927.5  timeStamp:2025-03-28 08:09:34:83
ID:9974 SKID:K1121+929  timeStamp:2025-03-28 08:09:34:258
ID:9974 SKID:K1121+930.5  timeStamp:2025-03-28 08:09:34:437
ID:9974 SKID:K1121+932  timeStamp:2025-03-28 08:09:34:619
ID:9974 SKID:K1121+934  timeStamp:2025-03-28 08:09:34:794
ID:9974 SKID:K1121+935.5  timeStamp:2025-03-28 08:09:34:970
ID:9974 SKID:K1121+937  timeStamp:2025-03-28 08:09:35:147
ID:9974 SKID:K1121+938.5  timeStamp:2025-03-28 08:09:35:322
ID:9974 SKID:K1121+939.5  timeStamp:2025-03-28 08:09:35:494
ID:9974 SKID:K1121+941  timeStamp:2025-03-28 08:09:35:663
ID:9974 SKID:K1121+942.5  timeStamp:2025-03-28 08:09:35:834
ID:9974 SKID:K1121+944  timeStamp:2025-03-28 08:09:36:16
ID:9974 SKID:K1121+946  timeStamp:2025-03-28 08:09:36:193
ID:9974 SKID:K1121+947.5  timeStamp:2025-03-28 08:09:36:370
ID:9974 SKID:K1121+949  timeStamp:2025-03-28 08:09:36:545
